country,country_code,2012,2013,2014,2015,2016,2017
Lithuania,LTU,96.80833333333332,91.61916666666666,89.95799999999998,93.15916666666665,92.03833333333334,99.13499999999999
Luxembourg,LUX,76.67416666666666,72.7375,77.47999999999999,75.39166666666667,73.72083333333335,82.68
Madagascar,MDG,109.87333333333332,105.3916666666667,114.09700000000001,108.59499999999998,104.79583333333333,127.275
Malawi,MWI,91.76249999999999,86.87583333333335,86.723,88.25,89.19583333333333,96.97
Mali,MLI,152.5533333333333,159.04166666666666,143.841,160.36833333333334,173.41583333333332,184.865
Mauritania,MRT,149.07833333333332,136.305,124.42,148.51333333333332,153.21583333333334,153.70499999999998
Mauritius,MUS,115.48444444444446,110.43249999999999,164.34142857142857,131.94571428571427,107.47999999999999,114.57
Moldova,MDA,112.29416666666668,99.02583333333335,100.89900000000002,98.42583333333333,99.04416666666667,103.125
Montenegro,MNE,97.89999999999999,92.47000000000001,90.551,94.38916666666667,89.37,98.03
Morocco,MAR,107.68,103.79249999999998,102.12899999999999,109.0025,116.21583333333335,116.38
Mozambique,MOZ,93.1725,90.3291666666667,90.254,88.7025,92.28083333333335,98.00999999999999
Namibia,NAM,78.16083333333334,75.53833333333333,73.982,75.70333333333333,77.785,86.055
Nepal,NPL,167.69,157.1766666666667,159.01833333333332,154.6657142857143,140.08142857142857,
Netherlands,NLD,73.58583333333333,71.22666666666667,73.66,73.75333333333334,72.6,83.82499999999999
Nicaragua,NIC,102.46999999999998,113.50000000000003,64.69500000000001,104.354,74.882,49.59
Niger,NER,127.46916666666665,124.32333333333332,118.11099999999999,120.25666666666667,128.68999999999997,177.06
Nigeria,NGA,154.1175,153.41916666666665,142.35100000000003,145.97333333333333,155.78250000000003,202.32
Norway,NOR,93.40250000000002,92.7725,90.062,92.10833333333333,89.60583333333334,90.225
Oman,OMN,120.48083333333334,119.98833333333333,109.61399999999999,112.63083333333331,113.45333333333336,129.21
Pakistan,PAK,153.64818181818183,135.518,152.02000000000004,158.97363636363636,139.85,240.865
Panama,PAN,64.58,93.50666666666666,103.828,97.86333333333334,73.382,68.3
Paraguay,PRY,121.59099999999998,119.731,113.47125,138.015,118.90272727272726,64.61
Peru,PER,69.79857142857144,64.25142857142858,99.55571428571429,105.80222222222223,84.78,50.18
Poland,POL,102.82666666666667,96.27666666666666,96.54299999999999,97.44416666666666,94.89333333333333,100.535
